Source,Target,Weight
#liar,#africanamericans,1
#liar,#race,1
#liar,#china,1
#liar,#shame,1
#liar,#whitesupremacy,1
#liar,#failure,1
#liar,#racist,1
#liar,#confused,1
#liar,#criminal,1
#liar,#plagerist,1
#liar,#phoney,1
#liar,#dottering,1
#liar,#demented,1
#cheaters,#jimjordan,1
#cheaters,#adamschiff,1
#cheaters,#americafirst,1
#cheaters,#felons,1
#cheaters,#busted,1
#cheaters,#decertify2020,1
#cheaters,#electionintegrity,3
#cheaters,#voterid,2
#cheaters,#bluestate,1
#manchin,#sinema,12
#manchin,#poster,1
#manchin,#graphicdesigner,1
#manchin,#tax,2
#manchin,#urges,1
#manchin,#nix,1
#manchin,#cuts,1
#manchin,#cool,1
#manchin,#skyrocketing,1
#manchin,#westvirginia,36
#manchin,#minimumwage,33
#manchin,#endpoverty,33
#manchin,#pelosi,43
#manchin,#un,33
#manchin,#military,33
#manchin,#usaf,33
#manchin,#rusland,15
#manchin,#hiv,16
#manchin,#btc,15
#manchin,#tvpinfo,2
#manchin,#maddow,10
#manchin,#bitcoin,10
#manchin,#greennewdeal,10
#manchin,#elizabethwarren,10
#manchin,#covid_19,10
#manchin,#berniesanders,10
#manchin,#desantis,1
#manchin,#buildbackbetter,1
