Source,Target,Weight
#louisiana,#jamescarville,1
#louisiana,#conorlamb,1
#louisiana,#lizcheney,4
#louisiana,#adamkinzinger,4
#louisiana,#billcassidy,4
#louisiana,#tennessee,1
#louisiana,#arkansas,1
#louisiana,#alabama,3
#louisiana,#westvirginia,1
#louisiana,#arizona,2
#louisiana,#oklahoma,1
#louisiana,#utah,1
#louisiana,#alaska,1
#louisiana,#nevada,1
#louisiana,#dmv,1
#louisiana,#indiana,1
#louisiana,#redistricting,2
#louisiana,#seniors,1
#louisiana,#johnkennedy,1
#louisiana,#supremecourt,1
#louisiana,#seriously,1
#louisiana,#formerguy,1
#liar,#cheaters,1
#liar,#nypost,1
#liar,#latimes,1
#liar,#corrupt,1
#liar,#nuremburg2,1
#liar,#60mins,1
#liar,#buildbackbroke,1
#liar,#bbb,1
#liar,#marjorietaylorgreene,1
#liar,#fascist,2
#liar,#ignorance,1
#liar,#gqpdomesticterrorists,1
#liar,#woke,1
#liar,#harriscounty,1
#liar,#hounews,1
#liar,#houston,1
#liar,#okboomer,1
#liar,#rightwing,1
#liar,#blackman,1
#liar,#blackwoman,1
#liar,#hispanicman,1
#liar,#mother,1
#liar,#creepyjoe,1
#liar,#leader,1
#liar,#loser,1
#liar,#theft,1
