Id,Label,Count,Sentiment,Political,Alignment
party,party,1360,0.44080783127985323,0.26243012085053957,0.11568125243463614
get,get,1180,-0.1951811414202244,-0.09532885228186956,0.018606394198655264
people,people,1116,-0.37645976332805875,-0.03230174609943222,0.012160307691675297
say,say,1072,-0.2897232338608793,0.0183449112710649,-0.0053149470183438165
like,like,980,0.37324692270147697,-0.006067346132017035,-0.0022646182727400674
vote,vote,955,0.05988558025529264,-0.011544140030896531,-0.0006913275242985907
trump,trump,881,-0.2698195891140851,0.24430526538423009,-0.06591834632438048
go,go,831,-0.34761141285084957,-0.01033904414117512,0.003593969741441182
want,want,830,-0.21698231564163198,-0.009153458756240485,0.001986138677059233
via,via,753,-0.3163342072512722,0.17489543549310094,-0.0553254089385761
make,make,714,-0.24260375642815823,0.007893065162630091,-0.0019148872581862919
need,need,684,-0.11272346227546609,-0.0514672471071495,0.0058015662877048575
would,would,629,-0.10392916751372243,0.024633679601831337,-0.002560157813818096
think,think,606,-0.18929084262665807,0.037630445664860165,-0.007123098768318053
one,one,602,-0.1406026421872406,0.014056268234560913,-0.001976348453071844
know,know,601,-0.2693184841845447,-0.008661490881081734,0.002332699594871189
biden,biden,599,-0.15959726023899348,-0.1384169275675927,0.022090962410487
right,right,569,-0.2279283179026538,0.07779817686216423,-0.017732407588086252
support,support,565,0.5132585472090903,-0.0028962894071637496,-0.0014865452934179433
take,take,559,-0.17612911998073408,-0.004997847574893777,0.000880266495163887
election,election,553,-0.29175499394502674,0.054697049415610495,-0.015958137321062268
political,political,537,-0.296798246718408,0.22830758964560002,-0.06776129231931985
republicans,republicans,519,-0.3481937980520719,0.2873935319058436,-0.10006864540989499
time,time,510,-0.09800460173269576,-0.027752451372931638,0.002719867943910171
state,state,504,-0.17352267588882753,0.029336930018520915,-0.00509062259917702
call,call,502,-0.3496415352718425,0.1063046639243567,-0.037168525901069324
democrats,democrats,496,-0.34634118689802884,-0.2726239248749644,0.09442089371799421
see,see,486,-0.10080743979337771,-0.013404956524575245,0.0013513193477839647
new,new,478,0.13517461201060493,0.020144370577079136,0.002723007476954518
us,us,464,-0.2831461941142407,0.10113002683866844,-0.028634582210039984
republican,republican,434,-0.024598152866098934,0.31061451553482444,-0.0076405433355548735
never,never,432,0.14340114674886256,-0.0761732344970529,-0.010923329178447403
year,year,427,-0.3055965103961042,-0.04962205466244386,0.015164326743527577
president,president,422,-0.2313836394942227,0.009663587614160736,-0.002235996072735803
america,america,415,-0.3415302205753761,0.030081078853829706,-0.01027359749609374
let,let,411,0.21454246002431465,0.03082391827889446,0.006613039255142456
try,try,407,-0.37997445924770995,0.10144633126618549,-0.038547014865532886
u,u,404,-0.2145274567578013,-0.05401654456984564,0.011588031929413408
back,back,392,-0.12607193443848333,0.01690181213756434,-0.002130844151698573
run,run,379,-0.08137343475548406,-0.07229499030059679,0.005882891676373966
country,country,376,-0.3956387913128454,0.07828137439220305,-0.030971148346839544
lie,lie,374,-0.6012104545790824,-0.02942490650527885,0.017690561415985698
good,good,369,0.5170942369283364,-0.022816774812746358,-0.011798422760962764
keep,keep,363,-0.24461866652203643,-0.10175801165392165,0.024891909118716155
come,come,361,0.13037767427799327,-0.06395334759321401,-0.008338088721495341
house,house,359,-0.1745587353561444,0.04780195994203089,-0.008344249675025986
black,black,342,-0.38989014797168187,-0.04361278373375408,0.017004194703410337
give,give,333,0.18512636703552457,-0.05909482059364608,-0.0109400094471178
many,many,333,-0.3337317438855299,0.0802828708784429,-0.02679294250239957
stop,stop,330,-0.5573786048018969,-0.04257560315422762,0.023730730284702635
thing,thing,323,0.20426717161448343,0.025230581193712118,0.005153779458629152
every,every,316,-0.2279455575684462,0.010762179891937214,-0.002453191096119548
still,still,313,-0.2693418792600265,0.03811385599930283,-0.01026565760069826
use,use,313,-0.2816450987703174,-0.09543540128350318,0.02687891302067713
way,way,312,-0.1645779372695425,-0.023309701545569488,0.0038362625987384933
even,even,310,-0.27408675339588523,0.017537703342776503,-0.0048068521712417754
look,look,309,0.11708984739275885,0.030810987046857957,0.003607653771336868
attack,attack,307,-0.6767461429661373,0.23482832411987592,-0.158919162607328
gop,gop,304,-0.3836180769298659,0.32842951041242563,-0.12599149719143207
work,work,301,0.06895277405466643,-0.05920145297953734,-0.004082104411005997
voter,voter,300,-0.2636942674133563,0.05356756307977136,-0.01412545930343906
believe,believe,300,-0.2663512718197531,0.024538364375219023,-0.006535824559716108
another,another,299,-0.38696659263133937,-0.05155254307095579,0.019949111933648126
tell,tell,298,-0.2133474023604687,-0.027474491482897056,0.005861611389050909
help,help,297,0.503897937397179,-0.029763740898687243,-0.014997887648072562
american,american,296,-0.2516956012243275,0.0005946424700982519,-0.0001496688940248987
democrat,democrat,288,-0.2267960721294205,-0.3348624549614084,0.0759454894888624
care,care,288,0.3065409615550768,0.01538731990536031,0.004716843839544723
must,must,288,-0.17708382352873328,0.009697917873892608,-0.0017173443773765469
well,well,287,0.5117140016769085,-0.0772572718548625,-0.03953362773949249
