Id,Label,Count,Sentiment,Political,Alignment
#democrats,#democrats,12364,-0.3189373684115201,-1.0,0.3189373684115201
#republicans,#republicans,10752,-0.33728135830154926,0.9923255518349949,-0.33469291000024154
#republican,#republican,5562,-0.2601591704303488,1.0,-0.2601591704303488
#gop,#gop,3389,-0.29715211651305,0.2512084498314626,-0.07464712255338146
#democrat,#democrat,2776,-0.2680114760543472,-0.9913776365197808,0.2657005836909366
#trump,#trump,2454,-0.2809357544448719,0.20938662619350604,-0.058824189800338995
#maga,#maga,1828,-0.2901239077326693,0.2046627103161672,-0.05937754528408571
#biden,#biden,1712,-0.3351049493857167,-0.31675672987341696,0.10614674793181654
#usa,#usa,1480,-0.2671958993859162,-0.2136584913319256,0.05708867275287184
#politics,#politics,1116,-0.21924867634458614,-0.06344716990351405,0.01391070801915552
#america,#america,1066,-0.35244615572158944,-0.07939077227378946,0.027980972487665245
#joebiden,#joebiden,924,-0.23155272977589056,-0.31193182403625835,0.07222866535956837
#conservative,#conservative,741,-0.13323393731058927,0.34965771422600544,-0.04658627397735155
#democracy,#democracy,694,-0.18910908978316376,-0.20806094674067677,0.0393462162575527
#foxnews,#foxnews,620,-0.34962306892220457,-0.0988403835933331,0.03455687824534903
#guncontrol,#guncontrol,597,-0.3404595869090164,-0.11554287297190892,0.03933767880229707
#republicansaretheproblem,#republicansaretheproblem,574,-0.368356127862423,0.3980833084980059,-0.14663642608498784
#inflation,#inflation,555,-0.3236706701304626,-0.322640823687169,0.10442937161427042
#january6thcommitteehearings,#january6thcommitteehearings,540,-0.3022838989353477,0.1359508615632085,-0.04109575649694636
#cnn,#cnn,513,-0.33723939472832204,-0.26046621013902305,0.08783946705446406
#nra,#nra,509,-0.3722646142538131,0.30174004164010754,-0.11232714020608413
#americans,#americans,494,-0.43840458824691997,0.10547494339990723,-0.04624069913160352
#vote,#vote,483,0.09506345271137503,-0.1287436400014055,-0.012238814933163904
#liberals,#liberals,477,-0.22932907338445133,-0.2979214874756387,0.06832205866410564
#conservatives,#conservatives,474,-0.2678118868740797,0.2942631859880378,-0.07880717907703465
#january6th,#january6th,460,-0.38618282446665536,0.14445420600083775,-0.0557857332794916
#january6thhearings,#january6thhearings,457,-0.24624088471283068,0.11068926109272399,-0.027256221579681862
#congress,#congress,437,-0.25937523951630753,-0.1027747223247239,0.02665721821919726
#texas,#texas,410,-0.2569013286904659,0.20823735922148082,-0.05349645426699226
#guns,#guns,405,-0.3195490649935806,0.15243754410985746,-0.048711274690222656
