Id,Label,Count,Sentiment,Political,Alignment
vote,vote,2397,-0.23872540838606762,0.06887278377972986,-0.016441683434501343
gun,gun,2034,-0.60830405635292,0.16682942129084596,-0.10148301369023179
people,people,1897,-0.49203256639071696,0.04366935104795061,-0.021486742868740284
get,get,1852,-0.32857232570340206,-0.004290480110891522,0.0014097330284198178
want,want,1680,-0.32039679639917923,0.023801820331812634,-0.0076260269827816175
say,say,1609,-0.35739910544345765,0.08648284864215931,-0.030908892740909685
go,go,1450,-0.36856656162059465,-0.019461753242855824,0.007172951475827829
like,like,1406,0.30296895042522703,0.07590110415327099,0.02299567786143235
trump,trump,1391,-0.42682550811560604,0.1918596561819351,-0.08189059523673993
party,party,1370,0.42926749695452876,0.1057199389027331,0.04538213355096195
need,need,1227,-0.28659525086053145,0.06002954569879918,-0.017204182708591087
make,make,1189,-0.2923110547574099,0.023395479563441627,-0.00683875730774505
one,one,1170,-0.3796848670813708,0.02639439050000158,-0.010021550648686895
know,know,1075,-0.3396141449378402,0.05538308714719354,-0.01880887978551202
think,think,1015,-0.3367323417059,0.06843626203411066,-0.02304470277234466
via,via,1014,-0.35690083374546094,0.06325782131371778,-0.022576769167787267
right,right,1010,-0.41121312919672504,0.06931300494736625,-0.02850241765843456
take,take,1004,-0.3075011741628865,0.010845910953964635,-0.003335130353210238
would,would,990,-0.23086749008857466,0.05068080640489994,-0.011700550570364208
time,time,985,-0.3516484746820224,-0.0026100540080770443,0.0009178215107779917
election,election,956,-0.4004712182575915,0.04560519682734556,-0.018263568732324324
biden,biden,901,-0.409210956724302,-0.23644765647985616,0.09675697172334105
republicans,republicans,891,-0.36999484329224214,0.26371874867167594,-0.09757457708800293
child,child,861,-0.43246773190670995,0.25376709351172017,-0.10974607936357159
lie,lie,829,-0.6063585470457163,0.20804464732161518,-0.12614965007057305
democrats,democrats,786,-0.3831362475985776,-0.2421237043756314,0.09276636754914673
stop,stop,781,-0.6150414037258424,0.038189643998563394,-0.02348821225266662
see,see,772,-0.31324744808309274,-0.01829401036167979,0.00573055206100185
every,every,769,-0.37445756173385236,0.1044929822941202,-0.039128187368154856
america,america,755,-0.398238671822689,-0.0518927264368646,0.020665690453475098
care,care,738,0.20064124842391132,0.10720131662759264,0.021509006000847188
republican,republican,729,-0.11959981281899006,0.275686453412918,-0.032972048224916214
let,let,713,-0.1561933207156603,0.05806426144542126,-0.009069249810062633
law,law,707,-0.5262991603864472,0.06543366992958534,-0.03443768554494468
country,country,706,-0.29869712364096856,0.0020985948128242494,-0.0006268442342784601
year,year,675,-0.33941365563222325,-0.07216986506836774,0.024495437729338987
come,come,665,-0.27889065957826575,-0.0065072673925583024,0.0018148160951627266
house,house,649,-0.2856161398675687,0.0791712093100804,-0.022612575191792477
try,try,645,-0.4720304155224477,0.02205361565178359,-0.010409977359883764
even,even,641,-0.36952894076854476,0.03989170482406289,-0.014741139429087407
u,u,641,-0.30578917619956947,-0.06203190524345152,0.018968685202484795
tell,tell,640,-0.30808227391396614,0.0623235249512898,-0.01920077328532717
control,control,632,-0.4969646792329042,-0.007403208457378554,0.0036791331163154566
support,support,632,0.4251650833514737,0.040468959793175996,0.01720598866361311
good,good,631,0.4375555205884896,-0.0463491430106147,-0.02028032339883987
price,price,625,-0.4097011593832754,-0.015487016782817577,0.0063450487313086055
call,call,621,-0.4229853261655407,0.027926188760936742,-0.011812368061605284
give,give,618,-0.2061117144534765,0.007431468238418115,-0.0015317126595269146
new,new,614,-0.2977543529877053,0.0027735478051750958,-0.0008258359322103807
gas,gas,610,-0.43111692529833323,-0.0889566867047937,0.03835073325689778
us,us,605,-0.39854259288952715,0.11707607694987691,-0.04665980327293775
show,show,602,-0.37487871792907385,-0.02783661143101614,0.010435353204749132
many,many,595,-0.3969613574741641,0.15461188218602798,-0.0613749426342012
keep,keep,591,-0.26299942418857014,0.028278204709338912,-0.007437151555642646
nothing,nothing,589,-0.41061281792934523,0.06675373401516799,-0.027409938831274114
run,run,587,-0.25808923090149544,-0.11977592708960731,0.030912876903070343
american,american,587,-0.46250503013057226,0.14831241555390812,-0.06859523822449823
thing,thing,584,-0.3408498142736928,-0.007473699975193818,0.0025474092484821156
day,day,579,-0.27475691878716396,0.06326728625459432,-0.01738312463133783
never,never,579,-0.32593985267955006,-0.03812869786477208,0.012427662164906888
back,back,573,-0.30494098648033885,0.0268856872129631,-0.0081985479809228
news,news,555,-0.40197821643278936,0.17835033206927187,-0.07169294838540162
still,still,552,-0.3332334995425749,0.08141631285408249,-0.027130642852219035
use,use,552,-0.4001722907934039,-0.06596191205923067,0.02639612945385539
work,work,548,-0.14025068796427542,-0.037973104168909796,0.005325753983828694
way,way,547,-0.34619530369405244,0.01317610598241767,-0.0045615060120881065
gop,gop,545,-0.3432433004484607,0.1738193406888261,-0.05966232417980808
believe,believe,516,-0.35132694197149017,0.02688404153725977,-0.009445088101119993
another,another,513,-0.47426068451969716,0.0719066454804267,-0.03410249490706236
state,state,512,-0.257003085462996,0.0012876955818768199,-0.0003309417376794107
help,help,511,0.3763562558416621,0.05465646293994986,0.02057030174962809
americans,americans,505,-0.41202470367156824,-0.11238372212262344,0.04630486980508179
president,president,503,-0.3575279605076108,0.0010335334636521136,-0.00036951711137590707
shame,shame,502,-0.9566759558294295,-0.35146741569831463,0.3362404258560846
school,school,500,-0.41494433361596833,0.1671106314492566,-0.06934160960685547
today,today,499,0.16206334890442142,0.0705899605702853,0.011440045409051497
well,well,492,0.3495167976934995,0.0290629259636005,0.010157980814400912
must,must,490,-0.2729308053148195,0.02510544281399269,-0.006852048725008174
political,political,487,-0.35705934488544117,-0.07518497303831392,0.026845497218289927
bill,bill,484,-0.3633581321938522,0.07747329365465967,-0.028150551277262962
kill,kill,482,-0.818544782016217,0.06753553228370106,-0.05528085755151127
mass,mass,481,-0.557236461488724,0.3203420852555896,-0.17850629005374388
money,money,478,-0.2845987412386858,0.15680366048324773,-0.04462612439515056
jan,jan,477,-0.43317655606135247,0.026104241548596228,-0.01130774545261458
problem,problem,473,-0.624917076951446,0.02156060982720422,-0.013473593270507083
look,look,470,-0.34689320203345203,0.03806775086780981,-0.013205443992746266
democrat,democrat,459,-0.3487016066173433,-0.325346728801801,0.11344892704088508
really,really,457,-0.3066437929502624,0.08979101070696628,-0.027533856096021762
watch,watch,453,-0.21203471330609786,0.09604057331126487,-0.02036393542780732
win,win,448,0.5658992527700617,0.007382602690473098,0.004177809346036974
violence,violence,447,-0.7983859556807018,-0.010996001408252541,0.008779053092994048
blame,blame,443,-0.6805364037578955,0.03383410622774235,-0.023025340976590394
bad,bad,441,-0.7028687571630414,-0.0877260357160394,0.0616598896945732
pay,pay,435,-0.3791466522442811,0.05330655981459104,-0.02021100369636172
voter,voter,429,-0.3905077084978867,0.01831747200834521,-0.007153114019453071
protect,protect,423,0.2871762747267911,0.07732240194730189,0.022205159344153732
live,live,421,-0.2820968314742138,0.12177829596237943,-0.03435327143331628
kid,kid,421,-0.3917649933011462,0.22764378890957224,-0.08918286743720612
life,life,417,-0.2776921850544011,0.14922211759602141,-0.04143781589368398
power,power,414,-0.35493892786235404,0.006731904601622596,-0.002389415001771572
much,much,409,-0.29063710473779264,0.05023224493689747,-0.014599354232939524
hearing,hearing,407,-0.39900613630105586,0.13038895888912258,-0.052025994702666015
great,great,407,0.6498153205795868,-0.036195916945603875,-0.02352066137367968
high,high,407,-0.4287837779761827,-0.1255836515823741,0.05384823257753499
happen,happen,402,-0.45724298166139943,0.05062212718339018,-0.023146612371375906
government,government,399,-0.3966112722214699,0.0861368621786817,-0.03416285049385236
white,white,399,-0.4414836004015993,-0.0002664618871617887,0.00011763855331399116
lose,lose,398,-0.5797198682364961,0.0007701575345168528,-0.0004464756244314546
